"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2a02:26f7:6:0:ace0:1303::","UDP","92","50956  >  443 Len=30"
"2","0.095704","2a02:26f7:6:0:ace0:1303::","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","95","443  >  50956 Len=33"
"3","0.256172","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2a02:26f7:6:0:ace0:1303::","UDP","103","50956  >  443 Len=41"
"4","0.310735","2a02:26f7:6:0:ace0:1303::","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","94","443  >  50956 Len=32"
"5","0.938299","2403:300:1364::2:3","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TLSv1.2","125","Application Data"
"6","0.938302","2403:300:1364::2:3","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TLSv1.2","110","Application Data"
"7","0.938304","2403:300:1364::2:3","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","443  >  58263 [FIN, ACK] Seq=64 Ack=1 Win=33 Len=0 TSval=730453884 TSecr=2221522828"
"8","0.939412","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2403:300:1364::2:3","TCP","86","58263  >  443 [ACK] Seq=1 Ack=65 Win=2047 Len=0 TSval=2221552976 TSecr=730453884"
"9","0.939696","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2403:300:1364::2:3","TLSv1.2","125","Application Data"
"10","0.940258","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2403:300:1364::2:3","TLSv1.2","110","Application Data"
"11","0.940555","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2403:300:1364::2:3","TCP","86","58263  >  443 [FIN, ACK] Seq=64 Ack=65 Win=2048 Len=0 TSval=2221552978 TSecr=730453884"
"12","0.946043","2403:300:1364::2:3","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","[TCP Retransmission] 443  >  58263 [FIN, ACK] Seq=64 Ack=1 Win=33 Len=0 TSval=730454044 TSecr=2221522828"
"13","0.946261","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2403:300:1364::2:3","TCP","86","[TCP Retransmission] 58263  >  443 [FIN, ACK] Seq=64 Ack=65 Win=2048 Len=0 TSval=2221552984 TSecr=730453884"
"14","1.011960","2403:300:1364::2:3","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","443  >  58263 [ACK] Seq=65 Ack=40 Win=33 Len=0 TSval=730454108 TSecr=2221552976"
"15","1.011962","2403:300:1364::2:3","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","443  >  58263 [ACK] Seq=65 Ack=64 Win=33 Len=0 TSval=730454108 TSecr=2221552978"
"16","1.011964","2403:300:1364::2:3","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","443  >  58263 [ACK] Seq=65 Ack=65 Win=33 Len=0 TSval=730454108 TSecr=2221552978"
"17","1.011966","2403:300:1364::2:3","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","TCP","86","[TCP Dup ACK 16#1] 443  >  58263 [ACK] Seq=65 Ack=65 Win=33 Len=0 TSval=730454108 TSecr=2221552978"
"18","1.012134","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2403:300:1364::2:3","TCP","74","58263  >  443 [RST] Seq=65 Win=0 Len=0"
"19","2.364950","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2409:40e0:1a:1598::73","ICMPv6","86","Neighbor Solicitation for 2409:40e0:1a:1598::73 from f2:91:b2:d7:39:d2"
"20","2.380628","2409:40e0:1a:1598::73","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","ICMPv6","78","Neighbor Advertisement 2409:40e0:1a:1598::73 (rtr, sol)"
"21","3.498339","fe80::48c4:56ff:fe13:68fc","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","ICMPv6","86","Neighbor Solicitation for 2409:40e0:1a:1598:80c3:6e0e:14a2:22e8 from 4a:c4:56:13:68:fc"
"22","3.498556","fe80::4e4:fad4:597a:3748","fe80::48c4:56ff:fe13:68fc","ICMPv6","78","Neighbor Advertisement 2409:40e0:1a:1598:80c3:6e0e:14a2:22e8 (sol)"
"23","4.523969","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2600:1901:0:5e8a::","UDP","111","49892  >  443 Len=49"
"24","4.524147","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2600:1901:0:5e8a::","UDP","518","49892  >  443 Len=456"
"25","4.591358","2600:1901:0:5e8a::","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","92","443  >  49892 Len=30"
"26","4.622080","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2600:1901:0:5e8a::","UDP","93","49892  >  443 Len=31"
"27","4.655937","2600:1901:0:5e8a::","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","131","443  >  49892 Len=69"
"28","4.656150","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2600:1901:0:5e8a::","UDP","98","49892  >  443 Len=36"
"29","4.723605","2600:1901:0:5e8a::","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","89","443  >  49892 Len=27"
"30","4.761135","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2600:1901:0:5e8a::","UDP","112","49892  >  443 Len=50"
"31","4.761357","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2600:1901:0:5e8a::","UDP","499","49892  >  443 Len=437"
